product_id,bv_product_id,product_url,brand,product_name,category,price,rating
516559,516559,https://www.sephora.com/product/hermes-fragrance-replica-discovery-set-P516559,HERMÈS,Herm&#232;s Fragrance Replica Discovery Set - HERM&#200;S,Perfume Gift Sets,$63.0,3.5
513648,513648,https://www.sephora.com/product/hermes-barenia-eau-de-parfum-travel-spray-P513648,HERMÈS,"Bar&#233;nia, Eau de Parfum Travel Spray - HERM&#200;S",Rollerballs & Travel Size,$48.0,4.443514644351464
505679,505679,https://www.sephora.com/product/mini-hermes-eau-de-toilette-gift-set-P505679,HERMÈS,Mini Jardin Fragrance Discovery Set - HERM&#200;S,Perfume Gift Sets,$63.0,3.3333333333333335
513646,513646,https://www.sephora.com/product/hermes-barenia-eau-de-parfum-P513646,HERMÈS,"Barénia, Eau de Parfum - HERM&#200;S",Perfume,$182.0,4.443514644351464
516517,516517,https://www.sephora.com/product/terre-d-hermes-eau-de-parfum-intense-P516517,HERMÈS,Terre d'Herm&#232;s Eau de Parfum Intense - HERM&#200;S,Cologne,$168.0,4.670157068062827
508179,508179,https://www.sephora.com/product/red-light-face-mask-for-fine-lines-glowing-skin-P508179,HigherDOSE,Red Light Face Mask for Fine Lines & Glowing Skin - HigherDOSE,Anti-Aging,$349.0,3.9478260869565216
508236,508236,https://www.sephora.com/product/serotonin-soak-magnesium-bath-salt-for-muscle-relaxation-mood-boost-P508236,HigherDOSE,Serotonin Soak - Magnesium Bath Salt for Muscle Relaxation & Mood Boost - HigherDOSE,Bath Soaks & Bubble Bath,$25.0,4.403846153846154
508195,508195,https://www.sephora.com/product/glow-serum-with-copper-peptides-vegan-collagen-P508195,HigherDOSE,Glow Serum with Copper Peptides and Vegan Collagen - HigherDOSE,Face Serums,$69.0,4.68
513122,513122,https://www.sephora.com/product/higherdose-red-light-hat-for-hair-vitality-P513122,HigherDOSE,Red Light Hat for Hair Growth - HigherDOSE,High Tech Tools,$449.0,4.612244897959184
508204,508204,https://www.sephora.com/product/red-light-neck-enhancer-mask-for-fine-lines-P508204,HigherDOSE,Red Light Neck Enhancer Mask for Fine Lines - HigherDOSE,High Tech Tools,$349.0,3.6666666666666665
454042,454042,https://www.sephora.com/product/hourglass-vanish-airbrush-concealer-P454042,Hourglass,Brightening Vanish&trade; Airbrush Concealer,Concealer,$39.0,4.242757510729613
506573,506573,https://www.sephora.com/product/veil-hydrating-skin-tint-P506573,Hourglass,Veil&#8482; Hydrating Skin Tint Foundation - Hourglass,Tinted Moisturizer,$49.0,4.444388014220417
483662,483662,https://www.sephora.com/product/hourglass-phantom-volumizing-glossy-balm-P483662,Hourglass,Phantom Volumizing Glossy Balm - Hourglass,Lip Balms & Treatments,$38.0,4.598218962807753
382309,382309,https://www.sephora.com/product/ambient-lighting-palette-P382309,Hourglass,Ambient&#174; Lighting Palette - Hourglass,Highlighter,$75.0,4.3353973168214655
384963,384963,https://www.sephora.com/product/ambient-lighting-blush-collection-P384963,Hourglass,Ambient Lighting Blush Collection - Hourglass,Blush,$48.0,4.514022787028922
516876,516876,https://www.sephora.com/product/reusable-feline-r-wispy-cat-eye-lashes-P516876,House of Lashes,Reusable Feline&#174; Wispy Cat-Eye Lashes - House of Lashes,False Eyelashes,$12.0,4.64
408663,408663,https://www.sephora.com/product/house-lashes-eyelash-adhesive-P408663,House of Lashes,&#174; Eyelash Adhesive - SEPHORA COLLECTION,False Eyelashes,$10.0,4.206831119544592
465813,465813,https://www.sephora.com/product/cruelty-free-faux-mink-volumizing-false-eyelashes-P465813,House of Lashes,x Sephora Collection False Lash - SEPHORA COLLECTION,False Eyelashes,$15.0,4.61455525606469
516908,516908,https://www.sephora.com/product/reusable-wispy-faux-mink-demi-half-lashes-P516908,House of Lashes,Reusable Wispy Faux Mink Demi Half Lashes - House of Lashes,False Eyelashes,$12.0,4.0
